Magnitude,Depth_km,Duration_sec,Building_Age,Building_Material,Floors,Soil_Type,Damage_Index,Damage_Category
4.78,35.16,64.84,21,Wood,11,Soft Soil,0.956,Destructive
6.84,226.15,12.62,52,Concrete,23,Hard Soil,0.909,Destructive
8.49,30.84,86.37,19,Concrete,47,Rock,0.934,Destructive
4.92,41.25,88.87,53,Concrete,15,Soft Soil,0.937,Destructive
8.34,289.15,49.55,85,Concrete,42,Rock,0.964,Destructive
5.7,234.83,41.9,50,Brick,8,Rock,0.992,Destructive
8.1,232.17,96.35,88,Concrete,2,Hard Soil,0.979,Destructive
7.23,24.96,79.41,69,Concrete,19,Hard Soil,1,Destructive
7.51,240.84,38.29,75,Brick,5,Soft Soil,0.961,Destructive
4.41,115.52,116.7,85,Brick,38,Hard Soil,0.971,Destructive
7.55,40.2,101.68,20,Concrete,39,Hard Soil,0.909,Destructive
6.66,102.06,20.89,79,Concrete,26,Soft Soil,0.94,Destructive
5.55,11.58,36.2,64,Concrete,13,Rock,0.927,Destructive
8.11,25.91,89.29,51,Wood,21,Hard Soil,0.934,Destructive
8.16,201.56,76.89,94,Wood,37,Soft Soil,0.909,Destructive
6.63,183.9,27.06,83,Concrete,46,Hard Soil,0.994,Destructive
7.37,169.77,92.9,10,Brick,37,Rock,0.955,Destructive
6.86,244.37,24.55,83,Wood,35,Soft Soil,0.945,Destructive
6.36,90.47,73.7,95,Wood,15,Soft Soil,0.93,Destructive
4.51,141.28,89.43,71,Concrete,9,Hard Soil,0.951,Destructive
5.62,226.51,37.07,54,Brick,1,Hard Soil,0.98,Destructive
7.36,15.92,56.15,52,Steel,3,Rock,0.904,Destructive
5.04,43.09,112.92,46,Steel,31,Soft Soil,0.929,Destructive
6.82,184.78,71.22,16,Concrete,13,Hard Soil,0.926,Destructive
4.92,49.61,39.09,40,Wood,43,Soft Soil,0.903,Destructive
8.11,135.4,55,70,Brick,44,Hard Soil,0.92,Destructive
5.1,61.23,113.07,50,Wood,27,Hard Soil,0.945,Destructive
7.34,114.77,97.1,40,Steel,41,Soft Soil,0.906,Destructive
6.88,191.14,100.75,69,Wood,48,Soft Soil,0.987,Destructive
6.52,43.62,46.81,82,Brick,32,Soft Soil,0.996,Destructive
4.43,70.39,68.94,66,Steel,1,Hard Soil,0.917,Destructive
4.3,80,96.05,12,Concrete,39,Soft Soil,0.939,Destructive
6.14,210.74,61.93,63,Brick,31,Hard Soil,0.954,Destructive
6.1,81.21,35.14,77,Brick,45,Rock,0.96,Destructive
5.09,57.79,85.65,67,Wood,10,Hard Soil,0.902,Destructive
4.76,51.26,111.63,83,Wood,26,Rock,0.908,Destructive
6.61,242.45,62.04,24,Steel,23,Hard Soil,0.907,Destructive
8.01,62.28,34.44,24,Brick,37,Rock,0.925,Destructive
7.87,85.43,104.74,34,Steel,29,Soft Soil,0.913,Destructive
6.44,262.42,83.7,11,Wood,13,Hard Soil,0.959,Destructive
6.18,159.12,105.79,17,Wood,46,Soft Soil,0.908,Destructive
5.8,253.65,33.02,68,Brick,22,Soft Soil,0.922,Destructive
4.1,52.04,109.66,37,Steel,6,Rock,0.968,Destructive
7.03,173.65,108.89,95,Wood,35,Rock,0.904,Destructive
4.48,9.14,28.84,12,Concrete,25,Hard Soil,0.973,Destructive
6.67,136.93,113.78,28,Steel,46,Soft Soil,0.994,Destructive
7.33,171.14,74.42,3,Brick,30,Soft Soil,0.998,Destructive
5.2,62.24,57.6,87,Concrete,23,Rock,0.962,Destructive
5.31,258.37,11.18,58,Steel,40,Rock,0.902,Destructive
5.18,264.32,6.18,97,Concrete,48,Hard Soil,0.944,Destructive
6.83,49.04,20.1,31,Concrete,4,Hard Soil,0.994,Destructive
4.2,252.35,21.97,92,Steel,21,Soft Soil,0.906,Destructive
5.92,198.87,90.17,51,Concrete,32,Hard Soil,0.955,Destructive
6.36,12.76,31.84,19,Brick,2,Soft Soil,0.997,Destructive
5.19,90.96,29.85,8,Wood,39,Rock,0.939,Destructive
4.74,79.99,92.45,86,Concrete,37,Hard Soil,0.919,Destructive
6.91,76.46,67.59,34,Brick,5,Rock,0.907,Destructive
4.31,290.95,44.84,19,Brick,10,Rock,0.977,Destructive
6.25,149.15,109.71,86,Concrete,22,Rock,0.917,Destructive
7.62,284.05,10.07,74,Concrete,38,Rock,0.982,Destructive
7.1,74.21,58.36,44,Wood,14,Soft Soil,0.976,Destructive
8.22,234.9,59.31,63,Steel,13,Rock,0.989,Destructive
6.63,100.32,96.24,30,Concrete,7,Hard Soil,0.908,Destructive
7.89,71.01,99.52,43,Steel,4,Hard Soil,0.933,Destructive
8.44,57.05,27.39,29,Steel,44,Soft Soil,0.969,Destructive
5.21,268,73.48,67,Steel,48,Soft Soil,0.928,Destructive
6.31,165.97,71.43,96,Wood,21,Rock,0.915,Destructive
8.22,76.25,104.4,10,Concrete,35,Rock,0.997,Destructive
4.89,10.5,61.92,40,Concrete,3,Soft Soil,0.961,Destructive
8.29,295.42,66.8,52,Brick,15,Hard Soil,0.927,Destructive
4.78,141.51,88.31,81,Brick,35,Rock,0.992,Destructive
7.63,178.59,45.75,48,Steel,27,Rock,0.998,Destructive
7.99,276.54,23.25,5,Wood,8,Soft Soil,0.99,Destructive
8.48,127.16,80.91,71,Concrete,30,Hard Soil,0.973,Destructive
